borough,date,open,cleaned,watered,resurfaced
Ahuntsic - Cartierville,2004-02-22,NA,NA,NA,NA
Ahuntsic - Cartierville,2004-02-23,20,18,NA,NA
Ahuntsic - Cartierville,2004-02-24,20,18,NA,18
Ahuntsic - Cartierville,2004-02-25,20,18,NA,18
Ahuntsic - Cartierville,2004-02-26,20,18,NA,NA
Ahuntsic - Cartierville,2004-02-27,NA,NA,NA,NA
Ahuntsic - Cartierville,2004-02-28,NA,18,NA,NA
Ahuntsic - Cartierville,2004-02-29,NA,18,NA,NA
Ahuntsic - Cartierville,2004-12-14,NA,18,18,NA
Ahuntsic - Cartierville,2004-12-16,NA,18,18,NA
Ahuntsic - Cartierville,2004-12-20,20,NA,18,18
Ahuntsic - Cartierville,2004-12-22,20,18,18,18
Ahuntsic - Cartierville,2004-12-24,18,18,NA,NA
Ahuntsic - Cartierville,2004-12-26,20,18,NA,NA
Ahuntsic - Cartierville,2004-12-27,20,NA,NA,NA
Ahuntsic - Cartierville,2004-12-28,20,18,NA,18
Ahuntsic - Cartierville,2004-12-29,20,18,NA,18
Ahuntsic - Cartierville,2004-12-30,20,18,NA,18
Ahuntsic - Cartierville,2005-01-02,20,NA,NA,NA
Ahuntsic - Cartierville,2005-01-03,20,18,NA,NA
Ahuntsic - Cartierville,2005-01-04,20,18,NA,NA
Ahuntsic - Cartierville,2005-01-05,20,18,NA,18
Ahuntsic - Cartierville,2005-01-06,20,18,NA,18
Ahuntsic - Cartierville,2005-01-07,20,NA,NA,NA
Ahuntsic - Cartierville,2005-01-08,20,18,18,NA
Ahuntsic - Cartierville,2005-01-09,20,18,NA,NA
Ahuntsic - Cartierville,2005-01-10,18,NA,NA,NA
Ahuntsic - Cartierville,2005-01-11,20,18,NA,NA
Ahuntsic - Cartierville,2005-01-12,20,18,NA,NA
Ahuntsic - Cartierville,2005-01-13,NA,18,NA,NA
Ahuntsic - Cartierville,2005-01-14,NA,18,NA,NA
Ahuntsic - Cartierville,2005-01-15,NA,18,18,18
Ahuntsic - Cartierville,2005-01-16,NA,18,18,18
Ahuntsic - Cartierville,2005-01-17,NA,18,18,18
Ahuntsic - Cartierville,2005-01-18,NA,18,NA,18
Ahuntsic - Cartierville,2005-01-19,NA,18,0,NA
Ahuntsic - Cartierville,2005-01-20,NA,NA,NA,NA
Ahuntsic - Cartierville,2005-01-24,20,18,NA,18
Ahuntsic - Cartierville,2005-01-25,20,18,NA,NA
Ahuntsic - Cartierville,2005-01-26,20,18,NA,0
Ahuntsic - Cartierville,2005-01-27,20,18,NA,18
Ahuntsic - Cartierville,2005-01-28,NA,18,NA,0
Ahuntsic - Cartierville,2005-01-29,NA,18,18,18
Ahuntsic - Cartierville,2005-01-30,NA,18,18,18
Ahuntsic - Cartierville,2005-01-31,18,18,18,18
Ahuntsic - Cartierville,2005-02-01,NA,18,NA,NA
Ahuntsic - Cartierville,2005-02-02,NA,18,NA,18
Ahuntsic - Cartierville,2005-02-03,NA,NA,NA,NA
Ahuntsic - Cartierville,2005-02-04,NA,18,NA,18
Ahuntsic - Cartierville,2005-02-05,NA,18,NA,18
Ahuntsic - Cartierville,2005-02-06,18,18,18,18
Ahuntsic - Cartierville,2005-02-07,NA,18,NA,18
Ahuntsic - Cartierville,2005-02-08,NA,18,NA,NA
Ahuntsic - Cartierville,2005-02-09,NA,18,NA,NA
Ahuntsic - Cartierville,2005-02-11,20,NA,NA,NA
Ahuntsic - Cartierville,2005-02-12,NA,18,NA,18
Ahuntsic - Cartierville,2005-02-13,NA,NA,NA,18
Ahuntsic - Cartierville,2005-02-14,NA,18,18,18
Ahuntsic - Cartierville,2005-02-15,NA,18,NA,NA
Ahuntsic - Cartierville,2005-02-16,NA,18,NA,NA
Ahuntsic - Cartierville,2005-02-17,20,18,NA,NA
Ahuntsic - Cartierville,2005-02-18,NA,NA,NA,NA
Ahuntsic - Cartierville,2005-02-19,NA,18,18,18
Ahuntsic - Cartierville,2005-02-20,NA,18,NA,NA
Ahuntsic - Cartierville,2005-02-21,20,18,18,18
Ahuntsic - Cartierville,2005-02-22,20,18,NA,NA
Ahuntsic - Cartierville,2005-02-23,20,18,NA,18
Ahuntsic - Cartierville,2005-02-24,20,18,NA,18
Ahuntsic - Cartierville,2005-02-25,20,18,18,18
Ahuntsic - Cartierville,2005-02-26,20,18,18,18
Ahuntsic - Cartierville,2005-02-27,20,18,18,18
Ahuntsic - Cartierville,2005-02-28,20,18,18,18
Ahuntsic - Cartierville,2005-03-01,20,NA,0,0
Ahuntsic - Cartierville,2005-03-02,20,18,NA,NA
Ahuntsic - Cartierville,2005-03-03,20,18,NA,NA
Ahuntsic - Cartierville,2005-03-05,20,18,NA,NA
Ahuntsic - Cartierville,2005-03-06,NA,18,NA,NA
Ahuntsic - Cartierville,2005-12-04,NA,NA,NA,NA
Ahuntsic - Cartierville,2005-12-16,NA,NA,NA,NA
Ahuntsic - Cartierville,2005-12-17,NA,NA,NA,NA
Ahuntsic - Cartierville,2005-12-18,NA,18,NA,NA
Ahuntsic - Cartierville,2005-12-19,0,0,0,0
Ahuntsic - Cartierville,2005-12-21,NA,18,0,0
Ahuntsic - Cartierville,2005-12-22,20,18,NA,NA
Ahuntsic - Cartierville,2005-12-23,20,18,NA,0
Ahuntsic - Cartierville,2005-12-26,NA,NA,NA,NA
Ahuntsic - Cartierville,2005-12-27,NA,NA,NA,NA
Ahuntsic - Cartierville,2005-12-28,20,18,NA,18
Ahuntsic - Cartierville,2005-12-29,NA,NA,NA,NA
Ahuntsic - Cartierville,2005-12-30,18,18,NA,18
Ahuntsic - Cartierville,2005-12-31,NA,18,NA,18
Ahuntsic - Cartierville,2006-01-03,NA,18,NA,NA
Ahuntsic - Cartierville,2006-01-04,NA,18,18,18
Ahuntsic - Cartierville,2006-01-05,21,NA,NA,NA
Ahuntsic - Cartierville,2006-01-06,19,19,NA,NA
Ahuntsic - Cartierville,2006-01-07,21,19,NA,19
Ahuntsic - Cartierville,2006-01-08,17,0,NA,NA
Ahuntsic - Cartierville,2006-01-09,21,NA,NA,NA
Ahuntsic - Cartierville,2006-01-10,21,19,NA,NA
Ahuntsic - Cartierville,2006-01-11,NA,19,NA,NA
Ahuntsic - Cartierville,2006-01-12,NA,19,NA,NA
Ahuntsic - Cartierville,2006-01-13,NA,0,NA,NA
Ahuntsic - Cartierville,2006-01-14,NA,NA,NA,NA
Ahuntsic - Cartierville,2006-01-15,NA,0,NA,NA
Ahuntsic - Cartierville,2006-01-16,NA,19,19,NA
Ahuntsic - Cartierville,2006-01-17,NA,19,19,19
Ahuntsic - Cartierville,2006-01-18,NA,19,NA,NA
Ahuntsic - Cartierville,2006-01-19,NA,NA,NA,NA
Ahuntsic - Cartierville,2006-01-20,NA,19,NA,NA
Ahuntsic - Cartierville,2006-01-21,NA,19,NA,NA
Ahuntsic - Cartierville,2006-01-22,NA,19,NA,NA
Ahuntsic - Cartierville,2006-01-23,NA,19,19,19
Ahuntsic - Cartierville,2006-01-24,NA,19,NA,NA
Ahuntsic - Cartierville,2006-01-25,21,19,NA,NA
Ahuntsic - Cartierville,2006-01-26,21,NA,NA,NA
Ahuntsic - Cartierville,2006-01-27,NA,19,19,19
Ahuntsic - Cartierville,2006-01-28,NA,19,NA,NA
Ahuntsic - Cartierville,2006-01-29,NA,19,NA,NA
Ahuntsic - Cartierville,2006-01-30,21,NA,NA,NA
Ahuntsic - Cartierville,2006-01-31,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-01,21,19,NA,NA
Ahuntsic - Cartierville,2006-02-02,21,NA,NA,NA
Ahuntsic - Cartierville,2006-02-03,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-04,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-05,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-06,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-07,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-08,NA,19,19,NA
Ahuntsic - Cartierville,2006-02-09,NA,19,19,19
Ahuntsic - Cartierville,2006-02-10,NA,19,19,19
Ahuntsic - Cartierville,2006-02-11,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-12,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-13,NA,19,19,19
Ahuntsic - Cartierville,2006-02-14,NA,19,NA,19
Ahuntsic - Cartierville,2006-02-15,21,19,NA,NA
Ahuntsic - Cartierville,2006-02-16,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-17,NA,NA,NA,NA
Ahuntsic - Cartierville,2006-02-18,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-19,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-20,NA,19,NA,19
Ahuntsic - Cartierville,2006-02-21,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-22,NA,19,NA,NA
Ahuntsic - Cartierville,2006-02-23,21,19,NA,NA
Ahuntsic - Cartierville,2006-02-24,NA,NA,NA,NA
Ahuntsic - Cartierville,2006-02-25,21,19,NA,NA
Ahuntsic - Cartierville,2006-02-26,21,19,NA,NA
Ahuntsic - Cartierville,2006-02-27,NA,19,NA,19
Ahuntsic - Cartierville,2006-02-28,NA,19,NA,19
Ahuntsic - Cartierville,2006-03-01,NA,19,19,19
Ahuntsic - Cartierville,2006-03-02,19,NA,NA,NA
Ahuntsic - Cartierville,2006-03-03,NA,19,NA,NA
Ahuntsic - Cartierville,2006-03-04,21,NA,NA,NA
Ahuntsic - Cartierville,2006-03-05,21,19,NA,NA
Ahuntsic - Cartierville,2006-03-06,NA,19,NA,NA
Ahuntsic - Cartierville,2006-03-07,NA,19,NA,NA
Ahuntsic - Cartierville,2006-03-08,NA,19,NA,NA
Ahuntsic - Cartierville,2006-03-09,NA,19,NA,NA
Ahuntsic - Cartierville,2006-03-10,NA,0,0,0
Ahuntsic - Cartierville,2006-03-17,NA,0,0,0
Ahuntsic - Cartierville,2006-11-28,0,0,0,0
Ahuntsic - Cartierville,2007-01-18,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-01-20,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-01-21,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-01-22,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-01-23,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-01-24,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-01-25,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-01-26,NA,19,NA,NA
Ahuntsic - Cartierville,2007-01-27,NA,19,NA,NA
Ahuntsic - Cartierville,2007-01-28,NA,19,NA,NA
Ahuntsic - Cartierville,2007-01-29,21,19,19,NA
Ahuntsic - Cartierville,2007-01-30,0,0,0,0
Ahuntsic - Cartierville,2007-01-31,21,19,NA,NA
Ahuntsic - Cartierville,2007-02-01,21,19,NA,19
Ahuntsic - Cartierville,2007-02-02,21,19,NA,NA
Ahuntsic - Cartierville,2007-02-03,21,NA,NA,NA
Ahuntsic - Cartierville,2007-02-04,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-02-05,21,19,19,19
Ahuntsic - Cartierville,2007-02-06,NA,19,0,19
Ahuntsic - Cartierville,2007-02-07,NA,19,NA,19
Ahuntsic - Cartierville,2007-02-08,NA,19,NA,19
Ahuntsic - Cartierville,2007-02-09,21,NA,NA,NA
Ahuntsic - Cartierville,2007-02-10,21,19,NA,NA
Ahuntsic - Cartierville,2007-02-11,21,19,NA,NA
Ahuntsic - Cartierville,2007-02-12,NA,19,NA,19
Ahuntsic - Cartierville,2007-02-13,NA,19,19,19
Ahuntsic - Cartierville,2007-02-14,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-02-15,21,NA,NA,NA
Ahuntsic - Cartierville,2007-02-16,21,19,NA,NA
Ahuntsic - Cartierville,2007-02-17,NA,19,NA,NA
Ahuntsic - Cartierville,2007-02-18,21,NA,NA,NA
Ahuntsic - Cartierville,2007-02-19,21,19,NA,NA
Ahuntsic - Cartierville,2007-02-20,21,19,NA,NA
Ahuntsic - Cartierville,2007-02-21,21,19,NA,NA
Ahuntsic - Cartierville,2007-02-22,21,19,NA,NA
Ahuntsic - Cartierville,2007-02-23,21,19,NA,NA
Ahuntsic - Cartierville,2007-02-24,21,NA,NA,NA
Ahuntsic - Cartierville,2007-02-25,21,19,NA,NA
Ahuntsic - Cartierville,2007-02-26,NA,19,NA,19
Ahuntsic - Cartierville,2007-02-27,NA,19,19,0
Ahuntsic - Cartierville,2007-02-28,NA,0,NA,NA
Ahuntsic - Cartierville,2007-03-01,NA,19,19,19
Ahuntsic - Cartierville,2007-03-02,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-03-03,21,NA,NA,NA
Ahuntsic - Cartierville,2007-03-04,NA,19,NA,NA
Ahuntsic - Cartierville,2007-03-05,NA,NA,0,NA
Ahuntsic - Cartierville,2007-03-06,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-03-07,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-03-08,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-03-11,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-03-12,NA,0,0,0
Ahuntsic - Cartierville,2007-12-07,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-12-08,NA,19,NA,NA
Ahuntsic - Cartierville,2007-12-09,NA,19,NA,NA
Ahuntsic - Cartierville,2007-12-12,2,19,NA,0
Ahuntsic - Cartierville,2007-12-13,NA,19,NA,NA
Ahuntsic - Cartierville,2007-12-14,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-12-15,NA,19,NA,NA
Ahuntsic - Cartierville,2007-12-18,NA,NA,NA,NA
Ahuntsic - Cartierville,2007-12-19,NA,19,NA,NA
Ahuntsic - Cartierville,2007-12-20,NA,NA,NA,NA
